No.,Habitaciones (X1),Baños (X2),Estrato (X3),Antigüedad (X4),Área Construida (X5),Precio (Y)
199,3,2,4,3,98,2340000
200,3,2,6,3,104,3297600
201,1,1,6,4,28,1248000
202,1,1,3,2,30,720000
203,3,4,6,4,167,3312000
204,3,2,5,3,72,1632000
205,3,2,4,3,85,1584000
206,3,2,4,3,99,2496000
207,2,2,5,2,80,2208000
208,3,2,5,3,115,2016000
209,3,2,4,2,77,2136000
210,3,4,6,5,330,5760000
211,3,4,6,2,217,6480000
212,3,1,3,2,48,816000
213,3,3,4,3,92,1956000
214,2,1,4,3,42,792000
215,3,2,4,4,75,1896000
216,3,3,5,5,112,2256000
